c_schoolname,district,areacode,address,date
私立育庠英文短期補習班,三重區,65000020,正義北路154號6樓,39239
皇家達文理技藝短期補習班,三重區,65000020,五華街141巷2號,39160
私立浩瀚文理語文短期補習班,三重區,65000020,忠孝路3段35號1、2樓,39127
私立巨匠電腦股份有限公司三重美語分公司附設鉅匠美語短期補習班,三重區,65000020,重新路2段23號2樓,39105
永悅文理語文短期補習班,三重區,65000020,自強路2段81號3樓,39027
私立全盈文理語文短期補習班,三重區,65000020,安慶街285號1樓、重陽路3段5巷8弄8號1樓、6號2樓,39009
"私立奕佰文理短期補習班 ",三重區,65000020,永福街43號1樓,32599
私立富民機電短期補習班,三重區,65000020,成功路137號5樓、137號1樓,39009
私立新首席文理語文短期補習班,三重區,65000020,集美街33巷10號,38989
惠文領袖文理技藝短期補習班,三重區,65000020,五華街149號(2、3樓)、207號4、5、6樓,38922
私立真善美瑜伽短期補習班,三重區,65000020,六張街89號,39262
私立育林文理語文珠心算短期補習班,三重區,65000020,自由街17巷2、4號,38890
私立新學林文理語文短期補習班,三重區,65000020,仁義街230巷3、5號2樓、仁義街234號1樓,36908
私立巨匠電腦股份有限公司三重分公司附設巨六電腦短期補習班,三重區,65000020,重新路2段60號1、2、3、4樓,38876
私立愛迪生文理語文短期補習班,三重區,65000020,永福街111巷2號1樓,38876
私立學友珠心算短期補習班,三重區,65000020,三張街80號,38862
私立欣學士文理語文短期補習班,三重區,65000020,五華街203號1、2樓,37986
私立劉宇文理短期補習班,三重區,65000020,三和路4段133號4樓,38810
私立吉德語文短期補習班,三重區,65000020,新興路28巷7號1、2樓,38799
私立天韻音樂舞蹈短期補習班,三重區,65000020,正義北路316號3樓,38769
私立致和文理短期補習班,三重區,65000020,三和路4段15號4樓、4樓之1,38721
綸堡國際教育股份有限公司附設綸堡美語文理短期補習班,三重區,65000020,大智街94之2號1樓,38721
私立翰孺文理短期補習班,三重區,65000020,碧華街283號2樓,38659
私立博仕文理語文短期補習班,三重區,65000020,碧華街259號1、2樓,38646
私立敦勤文理短期補習班,三重區,65000020,重新路4段142巷12號1樓,38629
私立重陽兒童棋院圍棋短期補習班,三重區,65000020,重陽路4段32號2樓,38555
私立同學文理語文短期補習班,三重區,65000020,五華街141巷4號1樓,38568
私立來恩美語文理短期補習班,三重區,65000020,永福街149號1樓、地下1樓,38533
私立企鵝文理語文珠心算美術短期補習班,三重區,65000020,頂崁街201巷2號1樓,38520
私立旭采美術短期補習班,三重區,65000020,重陽路4段132號12樓,38523
私立育昌文理短期補習班,三重區,65000020,重新路四段176號2樓之1,38503
私立文揚文理技藝短期補習班,三重區,65000020,頂崁街160號1樓,38450
私立庠序文理短期補習班,三重區,65000020,正義南路60之6號1、2樓,38406
私立新中山語文文理短期補習班,三重區,65000020,信義西街102號1、2樓,37337
吉英文理技藝短期補習班,三重區,65000020,五華街118號2、3、4、5樓、120號5樓,38334
私立維泓語文文理短期補習班,三重區,65000020,三和路3段11巷5號1樓、三和路3段11巷3弄1號5樓、仁愛街8號5樓,38316
私立喬大文理語文短期補習班,三重區,65000020,中正北路133號2樓、135號2樓,38295
私立你的剪刀石頭布有限公司附設剪刀石頭布語文短期補習班(待確認),三重區,65000020,三和路2段37-1號1、2樓,38274
私立艾菲爾珠心算文理短期補習班,三重區,65000020,重新路4段142巷16號1樓,38268
私立欣和美語文理短期補習班,三重區,65000020,集美街5號4樓、15號1、2樓,38237
私立正義大榮珠算短期補習班,三重區,65000020,大榮街40號1、2樓,38203
私立學毅文理珠心算短期補習班,三重區,65000020,五華街122巷1號1、2樓,38198
私立探索樂學文理短期補習班,三重區,65000020,重新路四段63號3樓、3樓之1,38190
私立上庭文理短期補習班,三重區,65000020,正義南路105巷9、11號1樓,38131
私立育群文理語文短期補習班,三重區,65000020,溪尾街123巷3號1樓、5號1樓、9號1樓、113巷12號1樓,38097
私立超強文理珠心算語文短期補習班,三重區,65000020,長興街57號2樓,38072
私立前進文理短期補習班,三重區,65000020,成功路115號1樓,37645
私立騏霖文理短期補習班,三重區,65000020,中央南路102號1樓,37991
私立萊德文理短期補習班,三重區,65000020,新北大道1段100巷25、27號,37964
私立唐吉君英語會話短期補習班,三重區,65000020,洛陽街45巷36號3樓,31594
私立百晟文理技藝短期補習班,三重區,65000020,五華街68號1樓,37935
私立貝思特文理美語短期補習班,三重區,65000020,正義北路314巷27號2樓,37734
私立碩譽語文文理短期補習班,三重區,65000020,三陽路115號1、2樓、117號2、3樓、119號2樓,37431
私立徠安文理技藝短期補習班,三重區,65000020,重安街24號1、2樓,37718
私立良育語文電腦短期補習班,三重區,65000020,重陽路4段36、38號(各3樓)、24、26、36、38號(各4樓),37986
私立揚邦文理語文音樂美術珠心算短期補習班,三重區,65000020,重陽路4段34號3樓、34號5樓、36號5樓、38號5樓,36528
私立新世代文理短期補習班,三重區,65000020,溪尾街216號,37587
私立安尼爾厚德文理語文短期補習班,三重區,65000020,忠孝路1段85號2樓、87號2樓,37566
私立晉毅語文短期補習班,三重區,65000020,重新路4段98號,37558
錢林文理短期補習班,三重區,65000020,正義北路73號3樓,37544
私立育晟語文短期補習班,三重區,65000020,重陽路1段66號5樓,37144
私立上鼎文理語文短期補習班,三重區,65000020,五華街187號1、2樓、189號1、2樓、205號2樓,38473
私立邦仁文理珠算短期補習班,三重區,65000020,溪尾街324號1、2樓,36598
"未來國際有限公司附設私立碧華文理短期補習班 ",三重區,65000020,溪尾街307號1、2樓,36623
"私立啟文文理技藝短期補習班 ",三重區,65000020,溪尾街112號3、4樓,31803
私立維德文理語文短期補習班,三重區,65000020,忠孝路1段119號(1、2、3樓)、131號(1、2、3樓),33423
私立黃瓊慧文理短期補習班,三重區,65000020,集美街210-1號1樓、地下1樓,34333
私立育麒文理語文短期補習班,三重區,65000020,集美街5號1、3樓、7號4樓,37137
私立旻登美語補習班,三重區,65000020,頂崁街234巷1號2樓、3號2樓,35765
綺響音樂語文美術補習班,三重區,65000020,三民街316號2樓(門牌整編),36349
私立國際地球村有限公司附設環球地球村語文短期補習班,三重區,65000020,重新路2段42號2樓、2樓之1、2樓之2、2樓之3、2樓之5,39266
私立耶儒美語短期補習班,三重區,65000020,重陽路4段130號2樓、132號2樓,38202
私立金華文理短期補習班,三重區,65000020,重陽路4段130號3樓,36458
私立威明美語短期補習班,三重區,65000020,信義西街118號1樓,36542
私立正義文理短期補習班,三重區,65000020,信義西街116號1樓,36722
私立芝蔴街忠孝語文短期補習班,三重區,65000020,忠孝路2段61號1樓、1樓夾層,35976
私立鄭博文文理短期補習班,三重區,65000020,自強路3段91號1樓、93號1、2樓,36538
"私立精準教育文理短期補習班	",三重區,65000020,永福街250號1樓,37203
私立超級文理短期補習班,三重區,65000020,永福街62號1樓,36791
私立歐陽慧珍舞蹈短期補習班,三重區,65000020,正義北路279號4樓之1、4樓之2,35177
私立加令英語補習班,三重區,65000020,正義北路279號3樓、3樓之1、之2、281號3樓,36524
私立上榕舞蹈短期補習班,三重區,65000020,正義北路235號3、4樓,36907
"宜欣舞蹈短期補習班 ",三重區,65000020,正義北路154號13樓、13樓-1,36734
私立嘉得英語文理短期補習班,三重區,65000020,正義北路113號4樓、4樓-1,37145
私立英智語文短期補習班,三重區,65000020,仁愛街709號2樓,35551
私立五華大榮珠算心算補習班,三重區,65000020,五華街148號3樓,34697
私立頂好文理短期補習班,三重區,65000020,五華街114號3、4樓、116號3、4樓,35429
私立重陽文理短期補習班,三重區,65000020,中正北路174-4號2樓,34720
私立德利語文文理短期補習班,三重區,65000020,三民街143之1號1樓、143號2樓之1,36379
私立伊格爾文理技藝短期補習班,三峽區,65000090,大義路237號1層,45246
私立秦梅芳文理短期補習班,三峽區,65000090,復興路27號1樓,45219
私立西林文理短期補習班,三峽區,65000090,大同路5巷29號,45211
私立精英國際教育管理顧問股份有限公司附設精英國際中園文理技藝短期補習班,三峽區,65000090,民權街187號1樓,44839
私立何嘉仁文教事業股份有限公司附設佳宜文理短期補習班,三峽區,65000090,介壽路1段185號2樓,44756
私立琳達英文文理短期補習班,三峽區,65000090,光明路3巷8號1樓、2樓,44694
私立歐洲音樂教育有限公司附設成大音樂技藝短期補習班,三峽區,65000090,民生街152之2號4樓,44616
私立北大揚才文理短期補習班,三峽區,65000090,大德路210號(1、2層),44501
私立晨曲音樂技藝短期補習班,三峽區,65000090,國光街38巷6號(1、2樓),44496
私立勤勝文理短期補習班,三峽區,65000090,和平街36巷7弄2號1樓,44445
私立奇濼文理技藝短期補習班,三峽區,65000090,學成路157號(1樓及夾層),44308
私立陳易文理短期補習班,三峽區,65000090,大同路270巷25號(1樓),44201
私立冠傑北大文理短期補習班,三峽區,65000090,學勤路172號(1樓及夾層),44099
私立波菲爾星球文理技藝短期補習班,三峽區,65000090,大學路97號1、2樓,44006
私立朗智思維科技有限公司附設飛行貓閱讀偵探社文理短期補習班,三峽區,65000090,復興路58號3樓,43961
私立威妮爾文理短期補習班,三峽區,65000090,大學路31號3樓,43945
私立宏名文理短期補習班,三峽區,65000090,中山路257巷2號2樓,43789
私立飛舞空間技藝短期補習班,三峽區,65000090,學成路337號1樓,43237
私立莘英美語文理短期補習班,三峽區,65000090,文化路266之13號2樓,43115
私立北大希望文理短期補習班,三峽區,65000090,大學路127號(1層),42949
私立後院美學技藝短期補習班,三峽區,65000090,學勤路172之3號1樓,42716
私立壹壹壹文理電腦短期補習班,三峽區,65000090,國光街111號1樓、105號1樓,42691
私立彼哈德文理短期補習班,三峽區,65000090,大學路31號5樓,42632
私立璦俐兒美語短期補習班,三峽區,65000090,大學路91號(1、2樓),42517
私立全恩語文短期補習班,三峽區,65000090,中華路53號(1、2樓),42454
私立爬格子樂園文理短期補習班,三峽區,65000090,文化路266之12號(1、2樓),42438
私立孔夫子語文短期補習班,三峽區,65000090,民生街152之1號3樓、152之2號3樓,42282
私立勵學文理語文短期補習班,三峽區,65000090,大學路95號1、2樓,42263
私立東橙文理語文珠心算短期補習班,三峽區,65000090,大德路119號1、2樓、129號1、2樓,41991
私立加合文理語文短期補習班,三峽區,65000090,大同路48巷17弄13號1、2樓,41971
私立欣育全語文短期補習班,三峽區,65000090,長泰街26號2樓,41935
私立文昌文理短期補習班,三峽區,65000090,大學路101號(1、2樓)、103號(1、2樓),41883
私立馬克英文文理短期補習班,三峽區,65000090,中正路1段290號2樓,41871
私立夏杰北大文理語文短期補習班,三峽區,65000090,大學路93號(1、2樓),41655
私立尚呈文理語文短期補習班,三峽區,65000090,學成路269號1層、二層,41626
私立精華文理語文短期補習班,三峽區,65000090,中正路1段210號3樓,41597
私立泰葳爾美語短期補習班,三峽區,65000090,大學路79號(1、2樓),41477
私立崴尼爾文理語文短期補習班,三峽區,65000090,大學路75號1、2樓及77號1、2樓,41341
私立逸騰文理短期補習班,三峽區,65000090,大學路33號1樓,41292
私立吳限翰威文理短期補習班,三峽區,65000090,學成路233號1、2樓,41269
"私立璟瀚文理短期補習班 ",三峽區,65000090,中山路28號1樓、34號1樓,41232
私立綠動能瑜珈舞蹈短期補習班,三峽區,65000090,國際二街21之2號1樓,41214
私立強棒北大文理短期補習班,三峽區,65000090,大義路245號1、2樓,41123
私立高登波士頓語文文理短期補習班,三峽區,65000090,大同路143號1樓、145號2樓,41050
私立兔子屋美術短期補習班,三峽區,65000090,大義路211號1樓,41037
私立培德海鷗文理美術短期補習班,三峽區,65000090,復興路101巷1弄75號1樓,40816
私立豐盛文理短期補習班,三峽區,65000090,國光街97號1樓,40809
私立五色鳥畫室美術短期補習班,三峽區,65000090,中華路75巷15號1樓,40809
私立子甫文理技藝短期補習班,三峽區,65000090,永安街121號1樓、121之1號1樓,40751
私立蘋果村語文文理短期補習班,三峽區,65000090,大德路28號1樓、30號1樓、58號1、2樓,40738
私立台灣知識庫股份有限公司三峽分公司附設數位學堂北大文理短期補習班,三峽區,65000090,國學街40號2樓,40644
私立智基科技開發股份有限公司附設北大志光文理法商短期補習班,三峽區,65000090,國際二街31號1樓、21之3號1樓,40456
私立泰昇文理技藝短期補習班,三峽區,65000090,大學路99號(1、2層),40424
私立高點教育科技股份有限公司附設高上文理法商短期補習班,三峽區,65000090,國際一街56號1、2樓,40399
私立惠笙音樂文理短期補習班,三峽區,65000090,學成路230號1、2樓,40296
私立韋達語文文理短期補習班,三峽區,65000090,國學街38號1、2樓,40232
私立松本音樂短期補習班,三峽區,65000090,大觀路62號1樓、66號1樓,40112
私立若瑟英語短期補習班,三峽區,65000090,學成路271號1、2樓,40078
私立蕎育文理語文技藝短期補習班,三峽區,65000090,大學路106號1、2樓,40037
私立立晟文理語文短期補習班,三峽區,65000090,文化路65巷12號1、2樓,39883
私立天龍文理短期補習班,三峽區,65000090,民生街119-6號3樓,39823
